Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,GO:0004364,-0.2898529607722529,-1.074312601695241,0.33203125,0.8769194778458803,1.0,4/17,8.91%,GSTM3;GSTM2;GSTZ1;GSTO2
prerank,GO:0003887,-0.3079153409508274,-1.0738429958322178,0.3665338645418327,0.8433518925747439,1.0,4/16,8.34%,POLM;REV1;POLL;POLD4
prerank,GO:0007155,0.26573042297556093,1.0732907645183332,0.3654054054054054,0.5176217565174333,1.0,36/69,43.24%,VCL;CDHR4;ICAM3;NINJ2;PCDH1;PCDH17;PCDHB9;CD33;PCDH11X;SPON1;SIGLEC9;SPON2;PCDHGB2;CDHR1;SIGLEC7;ICAM1;ICAM5;SIGLEC10;TGFBI;PCDHGA6;CLDN22;PCDH11Y;PCDHGA10;SIGLEC14;VCAM1;PCDHGB5;FES;NINJ1;PCDHGA5;CLDN23;FOLR3;SRC;PCDHGA8;SIGLEC5;CD44;ICAM2
prerank,GO:0010468,0.2551483064234098,1.0731693155355269,0.36451612903225805,0.5164302489386929,1.0,24/91,20.76%,CRIP1;PRDM12;PRDM1;PCBP4;TRIM6;TOB2;ZNF335;TRIM11;TRIM21;PRDM4;HNRNPAB;TRIM38;TRIM17;YBX1;PCBP1;TRIM26;ZUP1;RNF187;POGZ;TRIM60;HNRNPDL;CAVIN4;HNRNPK;TRIM22
prerank,GO:0098609,0.2624465291951192,1.068485387138232,0.36958934517203107,0.5239179395920626,1.0,16/69,13.11%,ITGA5;ITGAV;CD2;DLG3;ITGA4;KIRREL3;SCRIB;ITGAD;CELSR3;TLN1;LPP;PERP;ITGAL;NFASC;CTNNA1;NEO1
prerank,GO:0005930,0.2972269467024118,1.0680756293621012,0.36650485436893204,0.5233338822294622,1.0,16/38,35.28%,BBS7;CCDC65;WDR35;NME8;DYNC2H1;CCSAP;TTLL3;LCA5L;CCDC113;SPATA7;SPAG6;KIFAP3;CCDC114;ARL6;DNAH17;IFT172
prerank,GO:0007188,0.33332145067397345,1.065821193141055,0.36658031088082904,0.526290458417935,1.0,11/21,33.40%,GNAI3;GNAI2;PTH2R;GNAO1;GNA13;GNAZ;VIPR2;GNAL;GLP2R;GNA15;GIPR
prerank,GO:0005911,-0.23433836989239695,-1.0653781490934946,0.31216931216931215,0.8395236261422572,1.0,8/33,10.86%,DSC1;OBSCN;MPP7;LIMS2;USP53;DSG3;PTK7;MPP2
prerank,GO:0006096,0.3538492603024434,1.0649188095333888,0.3935897435897436,0.5265507297463445,1.0,6/17,14.71%,GAPDH;ENO1;TPI1;PGK1;PKM;GPI
prerank,GO:0016485,-0.2642057789458119,-1.0628148232324772,0.34854771784232363,0.8166814828677927,1.0,5/23,8.64%,AEBP1;TYSND1;PCSK5;MMEL1;LONP2
prerank,GO:0071347,0.34541771426937085,1.0622502181934537,0.3945666235446313,0.5302979739434427,1.0,11/18,40.87%,CCL5;CCL4L2;CCL4;CCL3;CCL23;CCL2;XCL2;CCL8;CCL19;CCL20;XCL1
prerank,GO:0005109,-0.29396407318221546,-1.0619788811300501,0.3724696356275304,0.7906156632867904,1.0,5/17,22.17%,WNT2B;WNT10A;RNF43;WNT16;WNT7A
prerank,GO:0015629,0.2627559474407523,1.054305424272948,0.401123595505618,0.5442359934632961,1.0,25/64,34.16%,DSTN;MYO5A;MYO1G;MACF1;MYO6;FLII;CFL1;MYO1F;LIMA1;AKAP13;SAMD14;KLHL17;PPP1R9B;OPHN1;MYO7A;TRIOBP;FSCN3;MYO1D;ABLIM2;TTC17;CCIN;PEAK3;PARVB;DMTN;GSN
prerank,GO:0016538,0.3185761590539902,1.0533966389896947,0.41419354838709677,0.5445520870583542,1.0,14/26,38.90%,CCNF;CCNK;CCNA2;CCNQ;CCNE2;CNPPD1;CCNB1;CCNB3;CCNL1;CCNH;CCND3;CCNJL;CCND2;CNTD2
prerank,GO:0005834,0.3125524125450291,1.0530159614922088,0.39015151515151514,0.5438567821163403,1.0,10/26,23.54%,GNAI3;GNAI2;GNB1;GNB2;GNG5;GNG2;GNAO1;GNGT2;GNA13;GNAZ
prerank,GO:0002377,-0.2011546043184914,-1.0527433800073638,0.3274336283185841,0.7943505905775414,1.0,23/55,27.23%,TMIGD2;IGLV7-46;IGKV1D-13;IGLV3-19;IGLV7-43;TRAV2;TRAV38-1;IGKV3-15;IGLV5-52;IGKV1-39;TRAV40;IGLV5-45;IGLV1-44;IGLV3-10;TRAV38-2DV8;IGKV1-5;IGLV2-11;IGKV1-27;IGKV1-8;IGKV1D-8;IGLV9-49;IGKV2D-29;IGLV3-25
prerank,GO:0007420,0.28613623630112656,1.0493263869141858,0.39928909952606634,0.5495662467151529,1.0,19/38,38.07%,GIT1;ZNF335;RTN3;SYNJ1;GIT2;RTN4;NFASC;KLHL17;B3GNT5;MEIS2;NIPBL;CADM2;PAFAH1B2;AATK;CCIN;MEIS1;MEIS3;CHD8;JHY
prerank,GO:0031234,0.30324350428936026,1.0478745914358045,0.41005291005291006,0.5509666264368994,1.0,16/30,39.30%,ERRFI1;KCNAB2;FYN;SLA;ZAP70;ESYT2;ESYT1;HCK;FGR;STYK1;PTK2B;SYK;YES1;LYN;FES;STAC2
prerank,GO:0031012,-0.1847264993310493,-1.0468795224369671,0.3103448275862069,0.7863578658431979,1.0,30/87,22.62%,COL18A1;COL28A1;LRRN2;GPLD1;COL23A1;ADAMTS2;HAPLN3;PAPLN;LRRN3;COL5A2;TIMP2;ADAMTS17;CHADL;LRRC24;MGP;SSPO;ADAMTS6;LRRN1;ADAMTSL2;COL4A4;ADAMTS13;COL9A2;CD180;SSC5D;ADAMTS4;ZP3;COL9A3;ENAM;LRIG2;MUC5B
prerank,GO:0007411,0.2539893047309214,1.046685693963808,0.4022222222222222,0.5517913558881521,1.0,33/73,39.03%,DAG1;EMB;EFNB1;KIF5B;SEMA4C;SEMA3G;NPTN;EFNA5;NFASC;NEO1;VASP;PALLD;SEMA3C;EPHB2;SEMA4B;BSG;LGR6;NOTCH2;LAMA2;EPHA2;DRAXIN;LAMA5;EFNA4;UNC5B;SEMA7A;SEMA4A;EFNB2;NOTCH1;KIF5A;SEMA4F;SLIT1;TRIO;SEMA3B
